ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
英語学	名詞,固有名詞,一般,*,*,*,英語学,エイゴガク,エイゴガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
諸	接頭詞,名詞接続,*,*,*,*,諸,ショ,ショ
分野	名詞,一般,*,*,*,*,分野,ブンヤ,ブンヤ
（	記号,括弧開,*,*,*,*,（,（,（
形態論	名詞,固有名詞,一般,*,*,*,形態論,ケイタイロン,ケイタイロン
と	助詞,並立助詞,*,*,*,*,と,ト,ト
統語論	名詞,固有名詞,一般,*,*,*,統語論,トウゴロン,トーゴロン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
中心	名詞,一般,*,*,*,*,中心,チュウシン,チューシン
）	記号,括弧閉,*,*,*,*,）,）,）
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
、	記号,読点,*,*,*,*,、,、,、
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ
という	助詞,格助詞,連語,*,*,*,という,トイウ,トユウ
言葉	名詞,一般,*,*,*,*,言葉,コトバ,コトバ
そのもの	名詞,一般,*,*,*,*,そのもの,ソノモノ,ソノモノ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
深める	動詞,自立,*,*,一段,基本形,深める,フカメル,フカメル
。	記号,句点,*,*,*,*,。,。,。
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
書か	動詞,自立,*,*,五段・カ行イ音便,未然形,書く,カカ,カカ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
英語学	名詞,固有名詞,一般,*,*,*,英語学,エイゴガク,エイゴガク
分野	名詞,一般,*,*,*,*,分野,ブンヤ,ブンヤ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
文献	名詞,一般,*,*,*,*,文献,ブンケン,ブンケン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
読む	動詞,自立,*,*,五段・マ行,基本形,読む,ヨム,ヨム
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
慣れる	動詞,自立,*,*,一段,基本形,慣れる,ナレル,ナレル
。	記号,句点,*,*,*,*,。,。,。
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
事実	名詞,副詞可能,*,*,*,*,事実,ジジツ,ジジツ
観察	名詞,サ変接続,*,*,*,*,観察,カンサツ,カンサツ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
分析	名詞,サ変接続,*,*,*,*,分析,ブンセキ,ブンセキ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
作る	動詞,自立,*,*,五段・ラ行,基本形,作る,ツクル,ツクル
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
語	名詞,一般,*,*,*,*,語,カタリ,カタリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
成り立ち	名詞,一般,*,*,*,*,成り立ち,ナリタチ,ナリタチ
（	記号,括弧開,*,*,*,*,（,（,（
形態論	名詞,固有名詞,一般,*,*,*,形態論,ケイタイロン,ケイタイロン
）	記号,括弧閉,*,*,*,*,）,）,）
、	記号,読点,*,*,*,*,、,、,、
文	名詞,一般,*,*,*,*,文,ブン,ブン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
成り立ち	名詞,一般,*,*,*,*,成り立ち,ナリタチ,ナリタチ
（	記号,括弧開,*,*,*,*,（,（,（
統語論	名詞,固有名詞,一般,*,*,*,統語論,トウゴロン,トーゴロン
）	記号,括弧閉,*,*,*,*,）,）,）
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
、	記号,読点,*,*,*,*,、,、,、
どの	連体詞,*,*,*,*,*,どの,ドノ,ドノ
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
分析	名詞,サ変接続,*,*,*,*,分析,ブンセキ,ブンセキ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
なさ	動詞,自立,*,*,五段・サ行,未然形,なす,ナサ,ナサ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
教科書	名詞,一般,*,*,*,*,教科書,キョウカショ,キョーカショ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
即し	動詞,自立,*,*,五段・サ行,連用形,即す,ソクシ,ソクシ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
、	記号,読点,*,*,*,*,、,、,、
英文	名詞,一般,*,*,*,*,英文,エイブン,エイブン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
書か	動詞,自立,*,*,五段・カ行イ音便,未然形,書く,カカ,カカ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
入門書	名詞,固有名詞,一般,*,*,*,入門書,ニュウモンショ,ニューモンショ
も	助詞,係助詞,*,*,*,*,も,モ,モ
利用	名詞,サ変接続,*,*,*,*,利用,リヨウ,リヨー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
必要	名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
応じ	動詞,自立,*,*,一段,連用形,応じる,オウジ,オージ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
資料	名詞,一般,*,*,*,*,資料,シリョウ,シリョー
配付	名詞,サ変接続,*,*,*,*,配付,ハイフ,ハイフ
中島平三	名詞,固有名詞,人名,一般,*,*,中島平三,ナカジマヘイゾウ,ナカジマヘイゾー
(	記号,一般,*,*,*,*,*
2011	名詞,数,*,*,*,*,*
)『	記号,一般,*,*,*,*,*
ファンダメンタル	名詞,固有名詞,一般,*,*,*,FDMTL,ファンダメンタル,ファンダメンタル
英語学	名詞,固有名詞,一般,*,*,*,英語学,エイゴガク,エイゴガク
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
』	記号,括弧閉,*,*,*,*,』,』,』
ひつじ書房	名詞,固有名詞,一般,*,*,*,ひつじ書房,ヒツジショボウ,ヒツジショボー
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
O	名詞,一般,*,*,*,*,*
'	記号,一般,*,*,*,*,*
Grady	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
W	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
他	接頭詞,名詞接続,*,*,*,*,他,タ,タ
(	記号,一般,*,*,*,*,*
2011	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
Contemporary	名詞,固有名詞,組織,*,*,*,*
Linguistics	名詞,一般,*,*,*,*,*
:	記号,一般,*,*,*,*,*
An	名詞,固有名詞,組織,*,*,*,*
Introduction	名詞,一般,*,*,*,*,*
本田謙	名詞,固有名詞,人名,一般,*,*,本田謙,ホンダユズル,ホンダユズル
介	名詞,サ変接続,*,*,*,*,介,カイ,カイ
ほか	名詞,副詞可能,*,*,*,*,ほか,ホカ,ホカ
(	記号,一般,*,*,*,*,*
2020	名詞,数,*,*,*,*,*
)『	記号,一般,*,*,*,*,*
英文	名詞,一般,*,*,*,*,英文,エイブン,エイブン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基本	名詞,一般,*,*,*,*,基本,キホン,キホン
構造	名詞,一般,*,*,*,*,構造,コウゾウ,コーゾー
』	記号,括弧閉,*,*,*,*,』,』,』
朝倉書店	名詞,固有名詞,組織,*,*,*,朝倉書店,アサクラショテン,アサクラショテン
岸本秀樹	名詞,固有名詞,人名,一般,*,*,岸本秀樹,キシモトヒデキ,キシモトヒデキ
ほか	名詞,副詞可能,*,*,*,*,ほか,ホカ,ホカ
(	記号,一般,*,*,*,*,*
2020	名詞,数,*,*,*,*,*
)『	記号,一般,*,*,*,*,*
構文	名詞,一般,*,*,*,*,構文,コウブン,コーブン
間	名詞,接尾,一般,*,*,*,間,カン,カン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
交替	名詞,サ変接続,*,*,*,*,交替,コウタイ,コータイ
現象	名詞,一般,*,*,*,*,現象,ゲンショウ,ゲンショー
』	記号,括弧閉,*,*,*,*,』,』,』
朝倉書店	名詞,固有名詞,組織,*,*,*,朝倉書店,アサクラショテン,アサクラショテン
小野	名詞,固有名詞,人名,姓,*,*,小野,オノ,オノ
隆啓	名詞,固有名詞,人名,名,*,*,隆啓,タカヒロ,タカヒロ
(	記号,一般,*,*,*,*,*
2015	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
『	記号,括弧開,*,*,*,*,『,『,『
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
素朴	名詞,形容動詞語幹,*,*,*,*,素朴,ソボク,ソボク
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
疑問	名詞,形容動詞語幹,*,*,*,*,疑問,ギモン,ギモン
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
本質	名詞,一般,*,*,*,*,本質,ホンシツ,ホンシツ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
』	記号,括弧閉,*,*,*,*,』,』,』
開拓	名詞,サ変接続,*,*,*,*,開拓,カイタク,カイタク
社	名詞,接尾,一般,*,*,*,社,シャ,シャ
澤田治美	名詞,固有名詞,人名,一般,*,*,澤田治美,サワダハルミ,サワダハルミ
・	記号,一般,*,*,*,*,・,・,・
高見健一	名詞,固有名詞,人名,一般,*,*,高見健一,タカミケンイチ,タカミケンイチ
(	記号,一般,*,*,*,*,*
2010	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
『	記号,括弧開,*,*,*,*,『,『,『
ことば	名詞,一般,*,*,*,*,ことば,コトバ,コトバ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
意味	名詞,サ変接続,*,*,*,*,意味,イミ,イミ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
使用	名詞,サ変接続,*,*,*,*,使用,シヨウ,シヨー
』	記号,括弧閉,*,*,*,*,』,』,』
鳳書房	名詞,固有名詞,一般,*,*,*,鳳書房,オオトリショボウ,オートリショボー
田子内	名詞,固有名詞,人名,姓,*,*,田子内,タコナイ,タコナイ
健介	名詞,固有名詞,人名,名,*,*,健介,ケンスケ,ケンスケ
(	記号,一般,*,*,*,*,*
2020	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
『	記号,括弧開,*,*,*,*,『,『,『
英文法	名詞,固有名詞,一般,*,*,*,英文法,エイブンポウ,エイブンポー
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
論	名詞,接尾,一般,*,*,*,論,ロン,ロン
』	記号,括弧閉,*,*,*,*,』,』,』
開拓	名詞,サ変接続,*,*,*,*,開拓,カイタク,カイタク
社	名詞,接尾,一般,*,*,*,社,シャ,シャ
吉川洋	名詞,固有名詞,人名,一般,*,*,吉川洋,ヨシカワヒロシ,ヨシカワヒロシ
・	記号,一般,*,*,*,*,・,・,・
友繁	名詞,固有名詞,人名,姓,*,*,友繁,トモシゲ,トモシゲ
義典	名詞,固有名詞,人名,名,*,*,義典,ヨシノリ,ヨシノリ
(	記号,一般,*,*,*,*,*
2014	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
『	記号,括弧開,*,*,*,*,『,『,『
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ
動詞	名詞,一般,*,*,*,*,動詞,ドウシ,ドーシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
意味論	名詞,固有名詞,一般,*,*,*,意味論,イミロン,イミロン
・	記号,一般,*,*,*,*,・,・,・
語用論	名詞,固有名詞,一般,*,*,*,語用論,ゴヨウロン,ゴヨーロン
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
アプローチ	名詞,サ変接続,*,*,*,*,アプローチ,アプローチ,アプローチ
』	記号,括弧閉,*,*,*,*,』,』,』
松柏社	名詞,固有名詞,組織,*,*,*,松柏社,ショウハクシャ,ショーハクシャ
その他	名詞,代名詞,一般,*,*,*,その他,ソノタ,ソノタ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
において	助詞,格助詞,連語,*,*,*,において,ニオイテ,ニオイテ
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
積極	名詞,形容動詞語幹,*,*,*,*,積極,セッキョク,セッキョク
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
参加	名詞,サ変接続,*,*,*,*,参加,サンカ,サンカ
（	記号,括弧開,*,*,*,*,（,（,（
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
提出	名詞,サ変接続,*,*,*,*,提出,テイシュツ,テイシュツ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
含む	動詞,自立,*,*,五段・マ行,基本形,含む,フクム,フクム
）	記号,括弧閉,*,*,*,*,）,）,）
20	名詞,数,*,*,*,*,*
％	名詞,接尾,助数詞,*,*,*,%,パーセント,パーセント
程度	名詞,接尾,一般,*,*,*,程度,テイド,テイド
試験	名詞,サ変接続,*,*,*,*,試験,シケン,シケン
80	名詞,数,*,*,*,*,*
％	名詞,接尾,助数詞,*,*,*,%,パーセント,パーセント
程度	名詞,接尾,一般,*,*,*,程度,テイド,テイド
おおよそ	名詞,一般,*,*,*,*,大凡,オオヨソ,オーヨソ
上記	名詞,一般,*,*,*,*,上記,ジョウキ,ジョーキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基準	名詞,一般,*,*,*,*,基準,キジュン,キジュン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
総合	名詞,サ変接続,*,*,*,*,総合,ソウゴウ,ソーゴー
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
回数	名詞,一般,*,*,*,*,回数,カイスウ,カイスー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
3分の2	名詞,固有名詞,一般,*,*,*,3分の2,サンブンノニ,サンブンノニ
以上	名詞,非自立,副詞可能,*,*,*,以上,イジョウ,イジョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
出席	名詞,サ変接続,*,*,*,*,出席,シュッセキ,シュッセキ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
なけれ	形容詞,自立,*,*,形容詞・アウオ段,仮定形,ない,ナケレ,ナケレ
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ
、	記号,読点,*,*,*,*,、,、,、
試験	名詞,サ変接続,*,*,*,*,試験,シケン,シケン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
成績	名詞,一般,*,*,*,*,成績,セイセキ,セイセキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
かかわら	動詞,自立,*,*,五段・ラ行,未然形,かかわる,カカワラ,カカワラ
ず	助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ
不合格	名詞,一般,*,*,*,*,不合格,フゴウカク,フゴーカク
と	助詞,格助詞,一般,*,*,*,と,ト,ト
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
未	接頭詞,名詞接続,*,*,*,*,未,ミ,ミ
提出	名詞,サ変接続,*,*,*,*,提出,テイシュツ,テイシュツ
・	記号,一般,*,*,*,*,・,・,・
試験	名詞,サ変接続,*,*,*,*,試験,シケン,シケン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
未	接頭詞,名詞接続,*,*,*,*,未,ミ,ミ
受験	名詞,サ変接続,*,*,*,*,受験,ジュケン,ジュケン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
履修	名詞,サ変接続,*,*,*,*,履修,リシュウ,リシュー
放棄	名詞,サ変接続,*,*,*,*,放棄,ホウキ,ホーキ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
見なす	動詞,自立,*,*,五段・サ行,基本形,見なす,ミナス,ミナス
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
ガイダンス	名詞,一般,*,*,*,*,ガイダンス,ガイダンス,ガイダンス
英語学	名詞,固有名詞,一般,*,*,*,英語学,エイゴガク,エイゴガク
と	助詞,格助詞,引用,*,*,*,と,ト,ト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
どの	連体詞,*,*,*,*,*,どの,ドノ,ドノ
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
学問	名詞,サ変接続,*,*,*,*,学問,ガクモン,ガクモン
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
2	名詞,数,*,*,*,*,*
語	名詞,接尾,助数詞,*,*,*,語,ゴ,ゴ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
語	名詞,一般,*,*,*,*,語,カタリ,カタリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
構造	名詞,一般,*,*,*,*,構造,コウゾウ,コーゾー
3	名詞,数,*,*,*,*,*
派生	名詞,サ変接続,*,*,*,*,派生,ハセイ,ハセイ
4	名詞,数,*,*,*,*,*
複合	名詞,サ変接続,*,*,*,*,複合,フクゴウ,フクゴー
5	名詞,数,*,*,*,*,*
屈折	名詞,サ変接続,*,*,*,*,屈折,クッセツ,クッセツ
6m	名詞,固有名詞,一般,*,*,*,6m,ロクメートル,ロクメートル
orphophonological	名詞,一般,*,*,*,*,*
phenomena	名詞,固有名詞,人名,一般,*,*,PHENOMENA,フェノメナ,フェノメナ
7	名詞,数,*,*,*,*,*
まとめ	名詞,一般,*,*,*,*,まとめ,マトメ,マトメ
確認	名詞,サ変接続,*,*,*,*,確認,カクニン,カクニン
テスト	名詞,サ変接続,*,*,*,*,テスト,テスト,テスト
と	助詞,格助詞,一般,*,*,*,と,ト,ト
振り返り	動詞,自立,*,*,五段・ラ行,連用形,振り返る,フリカエリ,フリカエリ
8	名詞,数,*,*,*,*,*
文法	名詞,一般,*,*,*,*,文法,ブンポウ,ブンポー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
考える	動詞,自立,*,*,一段,基本形,考える,カンガエル,カンガエル
9	名詞,数,*,*,*,*,*
動詞	名詞,一般,*,*,*,*,動詞,ドウシ,ドーシ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
文	名詞,一般,*,*,*,*,文,ブン,ブン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
要素	名詞,一般,*,*,*,*,要素,ヨウソ,ヨーソ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
考える	動詞,自立,*,*,一段,基本形,考える,カンガエル,カンガエル
102種	名詞,固有名詞,一般,*,*,*,102種,ヒャクニシュ,ヒャクニシュ
類	名詞,接尾,一般,*,*,*,類,ルイ,ルイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
自動詞	名詞,一般,*,*,*,*,自動詞,ジドウシ,ジドーシ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
知る	動詞,自立,*,*,五段・ラ行,基本形,知る,シル,シル
11	名詞,数,*,*,*,*,*
能動	名詞,一般,*,*,*,*,能動,ノウドウ,ノードー
文	名詞,一般,*,*,*,*,文,ブン,ブン
と	助詞,並立助詞,*,*,*,*,と,ト,ト
受動	名詞,一般,*,*,*,*,受動,ジュドウ,ジュドー
文	名詞,一般,*,*,*,*,文,ブン,ブン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
交替	名詞,サ変接続,*,*,*,*,交替,コウタイ,コータイ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
考える	動詞,自立,*,*,一段,基本形,考える,カンガエル,カンガエル
12	名詞,数,*,*,*,*,*
場所	名詞,一般,*,*,*,*,場所,バショ,バショ
句	名詞,接尾,一般,*,*,*,句,ク,ク
交替	名詞,サ変接続,*,*,*,*,交替,コウタイ,コータイ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
考える	動詞,自立,*,*,一段,基本形,考える,カンガエル,カンガエル
13	名詞,数,*,*,*,*,*
与格	名詞,一般,*,*,*,*,与格,ヨカク,ヨカク
交替	名詞,サ変接続,*,*,*,*,交替,コウタイ,コータイ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
考える	動詞,自立,*,*,一段,基本形,考える,カンガエル,カンガエル
